Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-11-05,1193.8196,973.4563,-220.3633,220.3633,18.4587
2024-11-06,757.1355,686.6082,-70.5273,70.5273,9.315
2024-11-07,948.4948,809.8164,-138.6783,138.6783,14.6209
2024-11-08,868.0407,838.138,-29.9028,29.9028,3.4449
2024-11-09,327.6713,385.824,58.1527,58.1527,17.7473
2024-11-10,300.9163,310.8509,9.9346,9.9346,3.3014
2024-11-11,308.5175,315.9054,7.388,7.388,2.3947
2024-11-12,1271.05,838.1261,-432.9239,432.9239,34.0603
2024-11-13,725.0952,740.8717,15.7765,15.7765,2.1758
2024-11-14,974.1202,807.6534,-166.4668,166.4668,17.0889
2024-11-15,770.9292,790.0569,19.1277,19.1277,2.4811
2024-11-16,305.0292,299.9191,-5.1101,5.1101,1.6753
2024-11-17,302.7112,296.6821,-6.0291,6.0291,1.9917
2024-11-18,1206.7169,878.667,-328.0499,328.0499,27.1853
2024-11-19,944.2947,831.8364,-112.4583,112.4583,11.9092
2024-11-20,1016.0901,696.7718,-319.3183,319.3183,31.4262
2024-11-21,1118.3892,803.4524,-314.9369,314.9369,28.1599
2024-11-22,768.7133,861.7922,93.0789,93.0789,12.1084
2024-11-23,348.0894,398.4338,50.3444,50.3444,14.4631
2024-11-24,293.325,317.9741,24.6491,24.6491,8.4033
2024-11-25,923.2886,811.9024,-111.3862,111.3862,12.0641
2024-11-26,905.2524,947.375,42.1226,42.1226,4.6531
2024-11-27,814.9508,726.7526,-88.1982,88.1982,10.8225
2024-11-28,1335.2158,836.0349,-499.1809,499.1809,37.3858
2024-11-29,742.3467,747.302,4.9552,4.9552,0.6675
2024-11-30,393.5808,406.2762,12.6954,12.6954,3.2256
2024-12-01,368.3537,348.7933,-19.5604,19.5604,5.3102
2024-12-02,915.8816,905.9581,-9.9235,9.9235,1.0835
2024-12-03,1120.5897,1008.9668,-111.6229,111.6229,9.9611
2024-12-04,678.4578,707.2441,28.7863,28.7863,4.2429
2024-12-05,1035.524,821.9626,-213.5614,213.5614,20.6235
2024-12-06,856.3145,832.025,-24.2895,24.2895,2.8365
2024-12-07,319.8302,391.1687,71.3385,71.3385,22.3051
2024-12-08,328.7243,317.5746,-11.1497,11.1497,3.3918
2024-12-09,924.243,821.3684,-102.8745,102.8745,11.1307
2024-12-10,1180.5228,962.7936,-217.7292,217.7292,18.4435
2024-12-11,810.2838,770.8616,-39.4222,39.4222,4.8652
2024-12-12,1219.2748,815.9656,-403.3092,403.3092,33.0778
2024-12-13,717.577,745.9546,28.3777,28.3777,3.9546
2024-12-14,358.0162,397.6054,39.5891,39.5891,11.0579
2024-12-15,362.1113,340.1649,-21.9464,21.9464,6.0607
2024-12-16,1025.3995,818.6641,-206.7354,206.7354,20.1614
2024-12-17,810.3747,807.7868,-2.5879,2.5879,0.3193
2024-12-18,1228.7978,646.7354,-582.0623,582.0623,47.3684
2024-12-19,835.1688,759.137,-76.0318,76.0318,9.1038
2024-12-20,651.1477,721.8806,70.7329,70.7329,10.8628
2024-12-21,328.9504,331.0054,2.055,2.055,0.6247
2024-12-22,330.5713,299.9396,-30.6317,30.6317,9.2663
2024-12-23,903.6585,814.0895,-89.569,89.569,9.9118
2024-12-24,564.9819,780.3762,215.3943,215.3943,38.1241
2024-12-25,335.9132,421.8802,85.967,85.967,25.592
2024-12-26,622.4065,502.1536,-120.2529,120.2529,19.3206
2024-12-27,548.4743,451.6296,-96.8447,96.8447,17.6571
2024-12-28,358.7075,329.9939,-28.7136,28.7136,8.0047
2024-12-29,361.4138,321.1909,-40.2229,40.2229,11.1293
2024-12-30,832.4219,817.6928,-14.729,14.729,1.7694
2024-12-31,469.1589,710.579,241.4201,241.4201,51.4581
2025-01-01,351.6834,368.2111,16.5277,16.5277,4.6996
2025-01-02,1074.7764,751.5866,-323.1897,323.1897,30.0704
2025-01-03,777.4578,770.3706,-7.0872,7.0872,0.9116
2025-01-04,365.6119,508.7154,143.1034,143.1034,39.1408
2025-01-05,340.1714,352.9964,12.8251,12.8251,3.7702
2025-01-06,922.7058,851.8521,-70.8537,70.8537,7.6789
2025-01-07,861.3492,829.869,-31.4802,31.4802,3.6548
2025-01-08,956.8169,769.3212,-187.4957,187.4957,19.5958
2025-01-09,1243.1227,943.2638,-299.8589,299.8589,24.1214
2025-01-10,1418.3359,816.5584,-601.7774,601.7774,42.4284
2025-01-11,405.0141,517.0302,112.0162,112.0162,27.6574
2025-01-12,401.826,582.6528,180.8268,180.8268,45.0013
2025-01-13,1013.0612,907.0768,-105.9844,105.9844,10.4618
2025-01-14,1322.9364,850.5944,-472.342,472.342,35.7041
2025-01-15,1032.8015,698.2106,-334.5909,334.5909,32.3964
2025-01-16,1036.7992,843.7581,-193.0411,193.0411,18.619
2025-01-17,1275.1537,840.207,-434.9467,434.9467,34.1094
2025-01-18,413.4885,436.5105,23.022,23.022,5.5677
2025-01-19,396.0135,430.6022,34.5887,34.5887,8.7342
2025-01-20,1114.0321,844.8262,-269.2059,269.2059,24.165
2025-01-21,1098.8912,850.5944,-248.2968,248.2968,22.5952
2025-01-22,953.7814,735.2968,-218.4846,218.4846,22.9072
2025-01-23,1161.1239,840.502,-320.6219,320.6219,27.6131
2025-01-24,711.8209,774.3076,62.4867,62.4867,8.7784
2025-01-25,378.4498,436.0042,57.5545,57.5545,15.208
2025-01-26,414.2303,358.6884,-55.5419,55.5419,13.4085
2025-01-27,1141.8606,861.2847,-280.5759,280.5759,24.5718
2025-01-28,1117.4394,895.8613,-221.5781,221.5781,19.8291
2025-01-29,1036.2172,744.783,-291.4342,291.4342,28.1248
2025-01-30,959.2931,852.6104,-106.6827,106.6827,11.121
2025-01-31,980.027,893.0834,-86.9436,86.9436,8.8716
2025-02-01,384.0876,516.0994,132.0118,132.0118,34.3702
2025-02-02,382.814,383.5758,0.7618,0.7618,0.199
2025-02-03,1089.0018,990.4984,-98.5034,98.5034,9.0453
2025-02-04,1193.2678,1029.4473,-163.8205,163.8205,13.7287
2025-02-05,892.1995,741.29,-150.9095,150.9095,16.9143
2025-02-06,1030.5385,891.1304,-139.4081,139.4081,13.5277
2025-02-07,813.761,907.6343,93.8733,93.8733,11.5357
2025-02-08,365.0024,393.8074,28.805,28.805,7.8917
2025-02-09,363.8366,341.4388,-22.3978,22.3978,6.156
2025-02-10,1089.0754,950.485,-138.5904,138.5904,12.7255
2025-02-11,1121.8273,968.6736,-153.1537,153.1537,13.6522
2025-02-12,795.4853,763.3428,-32.1425,32.1425,4.0406
2025-02-13,1460.6576,838.6505,-622.0071,622.0071,42.584
2025-02-14,770.9813,715.1962,-55.7851,55.7851,7.2356
2025-02-15,388.546,428.0468,39.5008,39.5008,10.1663
2025-02-16,412.1156,369.8757,-42.2399,42.2399,10.2495
2025-02-17,1101.3619,857.5657,-243.7962,243.7962,22.1359
2025-02-18,1337.5922,836.5111,-501.0811,501.0811,37.4614
2025-02-19,656.0797,698.5316,42.4519,42.4519,6.4705
