Day,Real_Consumption_kWh,Predicted_Consumption_kWh,Difference,Absolute_Error,Percent_Error
2024-12-20,651.1477,961.2242,310.0765,310.0765,47.62
2024-12-21,328.9504,322.025,-6.9254,6.9254,2.1053
2024-12-22,330.5713,311.8454,-18.7258,18.7258,5.6647
2024-12-23,903.6585,837.8548,-65.8036,65.8036,7.2819
2024-12-24,564.9819,768.127,203.1451,203.1451,35.956
2024-12-25,335.9132,341.6694,5.7562,5.7562,1.7136
2024-12-26,622.4065,616.6842,-5.7223,5.7223,0.9194
2024-12-27,548.4743,516.7624,-31.7119,31.7119,5.7818
2024-12-28,358.7075,298.1051,-60.6024,60.6024,16.8947
2024-12-29,361.4138,314.5517,-46.8621,46.8621,12.9663
2024-12-30,832.4219,820.9165,-11.5054,11.5054,1.3822
2024-12-31,469.1589,643.1498,173.9909,173.9909,37.0857
2025-01-01,351.6834,353.6526,1.9692,1.9692,0.5599
2025-01-02,1074.7764,785.4422,-289.3343,289.3343,26.9204
2025-01-03,777.4578,694.7758,-82.682,82.682,10.6349
2025-01-04,365.6119,366.7232,1.1113,1.1113,0.304
2025-01-05,340.1714,346.6343,6.4629,6.4629,1.8999
2025-01-06,922.7058,934.1498,11.444,11.444,1.2403
2025-01-07,861.3492,703.4098,-157.9395,157.9395,18.3363
2025-01-08,956.8169,804.8804,-151.9365,151.9365,15.8794
2025-01-09,1243.1227,836.6845,-406.4382,406.4382,32.6949
2025-01-10,1418.3359,815.947,-602.3889,602.3889,42.4715
2025-01-11,405.0141,473.8558,68.8417,68.8417,16.9974
2025-01-12,401.826,479.81,77.984,77.984,19.4074
2025-01-13,1013.0612,947.3479,-65.7133,65.7133,6.4866
2025-01-14,1322.9364,1062.8497,-260.0867,260.0867,19.6598
2025-01-15,1032.8015,779.6969,-253.1046,253.1046,24.5066
2025-01-16,1036.7992,897.3381,-139.4611,139.4611,13.4511
2025-01-17,1275.1537,847.6094,-427.5443,427.5443,33.5288
2025-01-18,413.4885,471.2386,57.75,57.75,13.9665
2025-01-19,396.0135,483.4199,87.4064,87.4064,22.0716
2025-01-20,1114.0321,1067.9008,-46.1313,46.1313,4.1409
2025-01-21,1098.8912,1167.647,68.7558,68.7558,6.2568
2025-01-22,953.7814,874.9801,-78.8013,78.8013,8.262
2025-01-23,1161.1239,933.6017,-227.5222,227.5222,19.595
2025-01-24,711.8209,838.5092,126.6883,126.6883,17.7978
2025-01-25,378.4498,452.696,74.2462,74.2462,19.6185
2025-01-26,414.2303,353.6494,-60.5809,60.5809,14.6249
2025-01-27,1141.8606,1016.5439,-125.3167,125.3167,10.9748
2025-01-28,1117.4394,1172.8717,55.4323,55.4323,4.9607
2025-01-29,1036.2172,853.3076,-182.9096,182.9096,17.6517
2025-01-30,959.2931,919.7642,-39.5289,39.5289,4.1206
2025-01-31,980.027,900.6632,-79.3638,79.3638,8.0981
2025-02-01,384.0876,386.3896,2.302,2.302,0.5994
2025-02-02,382.814,370.916,-11.898,11.898,3.108
2025-02-03,1089.0018,1041.0513,-47.9505,47.9505,4.4032
2025-02-04,1193.2678,1185.8516,-7.4162,7.4162,0.6215
2025-02-05,892.1995,828.9746,-63.2248,63.2248,7.0864
2025-02-06,1030.5385,884.8823,-145.6562,145.6562,14.134
2025-02-07,813.761,823.812,10.051,10.051,1.2351
2025-02-08,365.0024,361.8636,-3.1388,3.1388,0.8599
2025-02-09,363.8366,335.2009,-28.6357,28.6357,7.8705
2025-02-10,1089.0754,1036.2473,-52.8281,52.8281,4.8507
2025-02-11,1121.8273,1138.6543,16.827,16.827,1.5
2025-02-12,795.4853,796.4705,0.9852,0.9852,0.1239
2025-02-13,1460.6576,992.5538,-468.1038,468.1038,32.0475
2025-02-14,770.9813,920.6011,149.6198,149.6198,19.4064
2025-02-15,388.546,487.7206,99.1746,99.1746,25.5245
2025-02-16,412.1156,346.7927,-65.3229,65.3229,15.8506
2025-02-17,1101.3619,978.2573,-123.1046,123.1046,11.1775
2025-02-18,1337.5922,1119.7523,-217.8399,217.8399,16.286
2025-02-19,656.0797,942.454,286.3743,286.3743,43.6493
