Week,Measurement,Phase,Consumption
2023-W19,Chargers,PHASEA,1004184.7000000001
2023-W19,Chargers,PHASEB,133640.4
2023-W19,Chargers,PHASEC,133002.2
2023-W19,Solar,PHASEA,68067.8
2023-W20,Grid Organi lbc,PHASEA,766605.5
2023-W20,Grid Organi lbc,PHASEB,766605.5
2023-W20,Grid Organi lbc,PHASEC,748660.9
2023-W20,Chargers,PHASEA,889127.5
2023-W20,Chargers,PHASEB,88671.29999999999
2023-W20,Chargers,PHASEC,39850.0
2023-W20,Solar,PHASEA,29221.600000000006
2023-W21,Grid Organi lbc,PHASEA,820964.2
2023-W21,Grid Organi lbc,PHASEB,820964.2
2023-W21,Grid Organi lbc,PHASEC,865279.5999999999
2023-W21,Chargers,PHASEA,981163.0
2023-W21,Chargers,PHASEB,98523.9
2023-W21,Chargers,PHASEC,106974.9
2023-W21,Solar,PHASEA,59959.09999999999
2023-W22,Grid Organi lbc,PHASEA,844042.7
2023-W22,Grid Organi lbc,PHASEB,844042.7
2023-W22,Grid Organi lbc,PHASEC,830921.6
2023-W22,Chargers,PHASEA,954680.7
2023-W22,Chargers,PHASEB,134994.0
2023-W22,Chargers,PHASEC,115311.59999999999
2023-W22,Solar,PHASEA,112018.8
2023-W23,Grid Organi lbc,PHASEA,971564.2999999999
2023-W23,Grid Organi lbc,PHASEB,971564.2999999999
2023-W23,Grid Organi lbc,PHASEC,1077253.7999999998
2023-W23,Chargers,PHASEA,1108629.1
2023-W23,Chargers,PHASEB,146047.5
2023-W23,Chargers,PHASEC,193475.5
2023-W23,Solar,PHASEA,137104.5
2023-W24,Grid Organi lbc,PHASEA,1062888.1
2023-W24,Grid Organi lbc,PHASEB,1062888.1
2023-W24,Grid Organi lbc,PHASEC,1083528.2999999998
2023-W24,Chargers,PHASEA,1196421.9
2023-W24,Chargers,PHASEB,138862.8
2023-W24,Chargers,PHASEC,148347.59999999998
2023-W24,Solar,PHASEA,72054.9
2023-W25,Grid Organi lbc,PHASEA,967034.1
2023-W25,Grid Organi lbc,PHASEB,967034.1
2023-W25,Grid Organi lbc,PHASEC,1093764.7000000002
2023-W25,Chargers,PHASEA,1142523.6
2023-W25,Chargers,PHASEB,164905.0
2023-W25,Chargers,PHASEC,212267.90000000002
2023-W25,Solar,PHASEA,132663.5
2023-W26,Grid Organi lbc,PHASEA,984919.0
2023-W26,Grid Organi lbc,PHASEB,984919.0
2023-W26,Grid Organi lbc,PHASEC,1057084.5999999999
2023-W26,Chargers,PHASEA,1199759.7000000002
2023-W26,Chargers,PHASEB,216562.89999999997
2023-W26,Chargers,PHASEC,236634.8
2023-W26,Solar,PHASEA,219957.6
2023-W27,Grid Organi lbc,PHASEA,970610.2999999999
2023-W27,Grid Organi lbc,PHASEB,970610.2999999999
2023-W27,Grid Organi lbc,PHASEC,973905.8
2023-W27,Chargers,PHASEA,1109367.0999999999
2023-W27,Chargers,PHASEB,233679.9
2023-W27,Chargers,PHASEC,172095.80000000002
2023-W27,Solar,PHASEA,176778.5
2023-W28,Grid Organi lbc,PHASEA,943249.8
2023-W28,Grid Organi lbc,PHASEB,943249.8
2023-W28,Grid Organi lbc,PHASEC,1069277.2000000002
2023-W28,Chargers,PHASEA,1071530.2
2023-W28,Chargers,PHASEB,167684.6
2023-W28,Chargers,PHASEC,217806.3
2023-W28,Solar,PHASEA,147898.3
2023-W29,Grid Organi lbc,PHASEA,838967.1000000001
2023-W29,Grid Organi lbc,PHASEB,838967.1000000001
2023-W29,Grid Organi lbc,PHASEC,902807.3
2023-W29,Chargers,PHASEA,983375.1000000001
2023-W29,Chargers,PHASEB,130811.90000000001
2023-W29,Chargers,PHASEC,141347.90000000002
2023-W29,Solar,PHASEA,118648.79999999999
2023-W30,Grid Organi lbc,PHASEA,849503.2999999999
2023-W30,Grid Organi lbc,PHASEB,849503.2999999999
2023-W30,Grid Organi lbc,PHASEC,883848.9
2023-W30,Chargers,PHASEA,1011524.6
2023-W30,Chargers,PHASEB,165176.40000000002
2023-W30,Chargers,PHASEC,133013.7
2023-W30,Solar,PHASEA,165484.59999999998
2023-W31,Grid Organi lbc,PHASEA,887924.8999999999
2023-W31,Grid Organi lbc,PHASEB,887924.8999999999
2023-W31,Grid Organi lbc,PHASEC,926388.3999999999
2023-W31,Chargers,PHASEA,1062439.7999999998
2023-W31,Chargers,PHASEB,154587.0
2023-W31,Chargers,PHASEC,138748.8
2023-W31,Solar,PHASEA,186438.3
2023-W32,Grid Organi lbc,PHASEA,932474.3
2023-W32,Grid Organi lbc,PHASEB,932474.3
2023-W32,Grid Organi lbc,PHASEC,925875.9000000001
2023-W32,Chargers,PHASEA,1063079.8
2023-W32,Chargers,PHASEB,190917.7
2023-W32,Chargers,PHASEC,138933.7
2023-W32,Solar,PHASEA,174759.5
