Day,Total_consumption
2024-01-24,744.5027
2024-01-25,744.2825
2024-01-26,661.7605
2024-01-27,383.25419999999997
2024-01-28,375.4136
2024-01-29,971.2012
2024-01-30,698.9456
2024-01-31,749.1123
2024-02-01,776.3294
2024-02-02,599.8726
2024-02-03,311.4682
2024-02-04,306.5283
2024-02-05,730.8253
2024-02-06,792.1604
2024-02-07,987.4638
2024-02-08,645.2001
2024-02-09,620.5879
2024-02-10,294.2406
2024-02-11,306.9674
2024-02-12,772.7144
2024-02-13,736.4091
2024-02-14,680.7062999999999
2024-02-15,620.4069
2024-02-16,568.9867999999999
2024-02-17,325.08700000000005
2024-02-18,306.3805
2024-02-19,844.3562000000001
2024-02-20,798.5704
2024-02-21,823.8161
2024-02-22,757.471
2024-02-23,605.1886999999999
2024-02-24,335.3442
2024-02-25,323.6393
2024-02-26,677.877
2024-02-27,707.7899
2024-02-28,762.0963999999999
2024-02-29,892.8639000000001
2024-03-01,707.5717
2024-03-02,365.9541
2024-03-03,373.3469
2024-03-04,793.0512
2024-03-05,727.5319
2024-03-06,627.7968999999999
2024-03-07,873.3217999999999
2024-03-08,541.2109
2024-03-09,325.8667
2024-03-10,317.2047
2024-03-11,730.7438
2024-03-12,706.3391
2024-03-13,519.3213
2024-03-14,973.5891999999999
2024-03-15,473.31109999999995
2024-03-16,305.8304
2024-03-17,308.7765
2024-03-18,760.6712
2024-03-19,723.3029
2024-03-20,547.7843
2024-03-21,668.4367
2024-03-22,603.6191
2024-03-23,334.9891
2024-03-24,330.4375
2024-03-25,771.2904
2024-03-26,528.5264999999999
2024-03-27,575.7792
2024-03-28,848.6687000000001
2024-03-29,671.0889999999999
2024-03-30,315.42260000000005
2024-03-31,307.42289999999997
2024-04-01,324.50190000000003
2024-04-02,533.4632
2024-04-03,873.7815
2024-04-04,570.9554999999999
2024-04-05,494.6916
2024-04-06,291.6178
2024-04-07,287.9853
2024-04-08,778.8959
2024-04-09,621.1261000000001
2024-04-10,659.523
2024-04-11,621.016
2024-04-12,666.37
2024-04-13,295.986
2024-04-14,293.8637
2024-04-15,826.4361
2024-04-16,991.8071
2024-04-17,543.2256
2024-04-18,773.1111
2024-04-19,580.0248
2024-04-20,330.7437
2024-04-21,332.5256
2024-04-22,885.7694
2024-04-23,736.3316
2024-04-24,655.1715
2024-04-25,805.6088
2024-04-26,496.73949999999996
2024-04-27,309.4831
2024-04-28,301.56140000000005
2024-04-29,805.3185
2024-04-30,654.0126
2024-05-01,333.8218
2024-05-02,994.4399999999999
2024-05-03,508.12579999999997
2024-05-04,309.9709
2024-05-05,304.7758
2024-05-06,748.8141999999999
2024-05-07,803.6967999999999
2024-05-08,780.2587
2024-05-09,328.9446
2024-05-10,490.2069
2024-05-11,352.72339999999997
2024-05-12,296.48389999999995
2024-05-13,991.9405
2024-05-14,617.3877
2024-05-15,453.5063
2024-05-16,756.0550000000001
2024-05-17,812.7033
2024-05-18,303.6596
2024-05-19,299.2593
2024-05-20,310.8295
2024-05-21,992.8626
2024-05-22,661.5357
2024-05-23,839.5251
2024-05-24,522.9023
2024-05-25,287.4203
2024-05-26,335.66709999999995
2024-05-27,766.3455
2024-05-28,901.268
2024-05-29,593.2106
2024-05-30,801.8870000000001
2024-05-31,623.2202
2024-06-01,269.6825
2024-06-02,269.6005
2024-06-03,762.3746
2024-06-04,869.1329999999999
2024-06-05,429.4985
2024-06-06,583.9012
2024-06-07,799.9813
2024-06-08,189.52
2024-06-09,208.01
2024-06-10,690.8975
2024-06-11,458.8671
2024-06-12,457.769
2024-06-13,570.4716
2024-06-14,563.3240000000001
2024-06-15,189.52
2024-06-16,208.01
2024-06-17,619.4173
2024-06-18,782.3316
2024-06-19,439.6073
2024-06-20,598.5094
2024-06-21,669.0071
2024-06-22,189.52
2024-06-23,208.01
2024-06-24,480.60389999999995
2024-06-25,654.819
2024-06-26,536.4283
2024-06-27,927.44
2024-06-28,616.4259
2024-06-29,189.5239
2024-06-30,208.0085
2024-07-01,639.3621
2024-07-02,780.1528000000001
2024-07-03,483.29
2024-07-04,725.3971
2024-07-05,395.1386
2024-07-06,201.7893
2024-07-07,204.3415
2024-07-08,576.8132
2024-07-09,608.8375
2024-07-10,409.3133
2024-07-11,656.1967999999999
2024-07-12,403.9202
2024-07-13,203.1377
2024-07-14,187.33620000000002
2024-07-15,732.5167
2024-07-16,655.2326
2024-07-17,501.36479999999995
2024-07-18,773.5492
2024-07-19,406.48990000000003
2024-07-20,194.8639
2024-07-21,218.14780000000002
2024-07-22,668.3757
2024-07-23,772.3076
2024-07-24,505.908
2024-07-25,953.9423999999999
2024-07-26,494.26890000000003
2024-07-27,208.06459999999998
2024-07-28,192.3821
2024-07-29,690.2395
2024-07-30,682.8396
2024-07-31,706.3096
2024-08-01,833.8285
2024-08-02,524.3601
2024-08-03,274.2122
2024-08-04,212.8184
2024-08-05,675.5285
2024-08-06,915.9835999999999
2024-08-07,480.4615
2024-08-08,690.1695
2024-08-09,418.5131
2024-08-10,190.1019
2024-08-11,186.1588
2024-08-12,627.3914
2024-08-13,732.881
2024-08-14,538.7878
2024-08-15,229.0265
2024-08-16,495.7752
2024-08-17,205.4083
2024-08-18,202.82659999999998
2024-08-19,621.5466
2024-08-20,716.7833
2024-08-21,619.4177999999999
2024-08-22,708.778
2024-08-23,410.073
2024-08-24,230.9668
2024-08-25,214.216
2024-08-26,628.0388
2024-08-27,802.0997
2024-08-28,686.5675
2024-08-29,634.1322
2024-08-30,637.7822
2024-08-31,203.8813
2024-09-01,234.3323
2024-09-02,556.5745000000001
2024-09-03,771.8678
2024-09-04,661.2232
2024-09-05,728.1897
2024-09-06,591.6157000000001
2024-09-07,211.6916
2024-09-08,256.4221
2024-09-09,793.7168
2024-09-10,614.0387000000001
2024-09-11,674.7422
2024-09-12,845.4788
2024-09-13,490.3993
2024-09-14,264.0588
2024-09-15,250.8927
2024-09-16,1164.4959000000001
2024-09-17,615.8946
2024-09-18,648.6627000000001
2024-09-19,649.0707
2024-09-20,476.21700000000004
2024-09-21,228.43
2024-09-22,248.7662
2024-09-23,784.0835
2024-09-24,855.8892999999999
2024-09-25,774.4993000000001
2024-09-26,658.4499
2024-09-27,655.6854
2024-09-28,415.4338
2024-09-29,273.6816
2024-09-30,886.9709
2024-10-01,835.3016
2024-10-02,728.8132
2024-10-03,931.9177
2024-10-04,532.3499
2024-10-05,309.7075
2024-10-06,254.3091
2024-10-07,877.9306999999999
2024-10-08,1026.3026
2024-10-09,959.724
2024-10-10,701.3044
2024-10-11,606.9308
2024-10-12,320.83
2024-10-13,295.4386
2024-10-14,1057.2568
2024-10-15,712.0600999999999
2024-10-16,892.8212000000001
2024-10-17,1022.7414
2024-10-18,542.6242
2024-10-19,253.1983
2024-10-20,248.5667
2024-10-21,937.2068
2024-10-22,1096.2595000000001
2024-10-23,795.627
