Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-03-05 15:00:00,"28,8","5,705","5,907","5,071","0,036","0,034","0,02","4,012","4,066","4,041","0,022","0,023","0,023"
2025-03-05 14:00:00,"40,967","8,665","8,693","7,626","3,838","3,852","3,817","5,289","5,365","5,33","0,017","0,026","0,025"
2025-03-05 13:00:00,"36,368","6,006","7,397","4,933","2,167","3,004","2,149","5,967","6,049","6,017","0,018","0,026","0,024"
2025-03-05 12:00:00,"35,514","5,204","8,733","3,341","1,235","4,976","1,215","6,033","6,117","6,086","0,689","0,706","0,684"
2025-03-05 11:00:00,"54,361","11,226","16,998","9,495","1,021","4,739","1,006","5,507","5,582","5,554","6,071","8,752","6,621"
2025-03-05 10:00:00,"61,539","15,034","21,158","12,269","0,04","3,77","0,022","4,327","4,391","4,361","9,355","12,976","9,265"
2025-03-05 09:00:00,"93,807","29,612","32,174","23,763","0,039","3,72","0,023","2,732","2,774","2,753","22,158","23,294","19,411"
2025-03-05 08:00:00,"81,579","29,668","25,628","22,918","0,034","0,611","0,022","1,114","1,131","1,121","21,036","18,464","16,923"
2025-03-05 07:00:00,"56,074","21,377","17,008","17,327","0,035","0,034","0,022","0,12","0,118","0,124","12,503","10,44","10,393"
2025-03-05 06:00:00,"20,451","7,168","6,98","6,31","0,036","0,033","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-05 05:00:00,"17,292","6,489","5,711","5,099","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-05 04:00:00,"16,885","6,466","5,558","4,868","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,023","0,022"
2025-03-05 03:00:00,"16,806","6,331","5,595","4,887","0,036","0,034","0,021",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-03-05 02:00:00,"16,745","6,305","5,564","4,883","0,036","0,034","0,02",0,"-0,006","-0,001","0,024","0,024","0,022"
2025-03-05 01:00:00,"16,867","6,297","5,651","4,926","0,036","0,034","0,02",0,"-0,006","-0,001","0,025","0,024","0,022"
2025-03-05 00:00:00,"17,242","6,456","5,857","4,936","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,024","0,021"
